"Player","Team","Pos","GP","W%","CTR%","K","D","A","KDA","KP","KS%","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","D%P15","EGPM","GOLD%","STL","WPM","CWPM","WCPM"
"Rulfchen","PENTA 1860","Jungle",18,"39%","50%",71,65,123,3,"72.7%","26.6%","21.0%","44%",161,133,5.8,6.6,"19.8%",378,"17.7%","17.3%",240,"20.5%",0,0.31,0.25,0.38
"Sacre","GamerLegion","Top",18,"72%","56%",68,25,91,6.4,"56.8%","24.3%","13.7%","22%",230,203,6.4,8.7,"27.4%",547,"24.9%","24.0%",297,"24.9%",0,0.49,0.17,0.22
"Saviour","MOUZ","Support",18,"67%","39%",18,50,165,3.7,"66.1%","6.5%","23.5%","22%",41,205,0.9,1,"2.0%",132,"6.5%","5.4%",106,"8.9%",0,1.46,0.42,0.33
"Scarface","FC Schalke 04 Esports","Top",18,"61%","33%",26,47,106,2.8,"53.2%","10.5%","21.9%","17%",-92,-35,-2.7,7.7,"21.4%",373,"20.8%","18.2%",238,"20.4%",0,0.33,0.16,0.18
"Sleeping","PENTA 1860","Top",18,"39%","56%",55,59,79,2.3,"50.2%","20.6%","19.1%","0%",17,-10,2.1,8.5,"25.9%",582,"27.2%","27.8%",275,"23.5%",0,0.31,0.15,0.21
"sOAZ","WAVE Esports","Top",18,"6%","78%",33,62,56,1.4,"51.7%","19.2%","18.5%","28%",103,22,2.9,7.8,"26.1%",505,"26.6%","24.3%",237,"24.6%",0,0.42,0.14,0.18
"Special","Eintracht Spandau","Middle",18,"67%","67%",59,57,81,2.5,"56.9%","24.0%","24.9%","17%",62,165,5.6,9.1,"28.1%",574,"28.8%","29.1%",287,"24.3%",0,0.44,0.22,0.24
"TakeSet","FC Schalke 04 Esports","ADC",18,"61%","67%",77,31,88,5.3,"66.5%","31.0%","14.4%","22%",238,89,10.2,9.6,"31.1%",534,"29.3%","32.1%",318,"27.1%",0,0.48,0.12,0.46
"Tolerant","PENTA 1860","Support",18,"39%","67%",15,75,165,2.4,"67.4%","5.6%","24.3%","39%",-82,-138,-1.7,1.3,"3.2%",146,"6.9%","5.7%",106,"9.1%",0,1.82,0.55,0.51
"Venour","Berlin International Gaming","Top",18,"50%","72%",52,66,67,1.8,"49.4%","21.6%","24.7%","6%",-410,-322,-13.3,7.5,"24.2%",490,"24.4%","21.8%",249,"22.1%",0,0.33,0.11,0.14
"Visdom","GamerLegion","Support",18,"72%","39%",18,40,205,5.6,"79.6%","6.4%","21.9%","39%",-1,39,-6.9,0.8,"2.3%",191,"8.3%","6.9%",117,"9.7%",0,1.5,0.42,0.33
"Xoura","WAVE Esports","Middle",18,"6%","39%",29,49,82,2.3,"64.5%","16.9%","14.6%","17%",-217,-48,-3.9,7.9,"24.8%",411,"21.9%","24.0%",218,"22.1%",0,0.43,0.14,0.17
"ZaZee","Berlin International Gaming","Middle",18,"50%","39%",58,46,105,3.5,"67.6%","24.1%","17.2%","11%",-80,-103,-1.3,8.4,"26.5%",475,"23.8%","26.1%",271,"24.4%",0,0.4,0.15,0.14
