"Player","Team","Pos","GP","W%","CTR%","K","D","A","KDA","KP","KS%","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","D%P15","EGPM","GOLD%","STL","WPM","CWPM","WCPM"
"shochi","Cincinnati Fear","Middle",38,"58%","49%",193,127,280,3.7,"72.9%","29.7%","21.6%","37%",48,4,-2.9,8.5,"26.0%",732,"29.4%","30.8%",303,"24.7%",0,0.28,0.11,0.21
"Sketch","Supernova","ADC",37,"30%","56%",125,121,152,2.3,"60.3%","27.2%","18.6%","11%",-350,-251,-9.8,8.6,"31.9%",593,"26.2%","28.6%",286,"25.9%",0,0.34,0.07,0.17
"Smoothie","Evil Geniuses Challengers","Support",36,"42%","37%",16,91,294,3.4,"70.3%","3.6%","18.6%","22%",-59,31,-0.1,0.9,"1.7%",128,"6.0%","5.6%",94,"8.2%",0,1.63,0.4,0.23
"Soligo","Wildcard Gaming","Middle",37,"54%","54%",121,101,243,3.6,"63.6%","21.2%","18.4%","16%",-2,106,4.1,8.1,"23.1%",608,"25.7%","25.6%",269,"22.1%",0,0.41,0.18,0.18
"Spawn","Team Fish Taco","ADC",35,"29%","44%",166,90,180,3.8,"67.1%","32.2%","14.1%","17%",12,-16,0.7,9.2,"32.4%",646,"28.7%","31.4%",309,"27.7%",0,0.38,0.11,0.2
"Spirax","FlyQuest Challengers","Middle",37,"68%","44%",163,112,222,3.4,"63.7%","27.0%","22.2%","38%",192,-17,1.5,8.4,"24.8%",681,"28.3%","28.3%",291,"23.1%",0,0.35,0.16,0.22
"Srtty","Evil Geniuses Challengers","Top",17,"47%","53%",58,44,93,3.4,"65.4%","25.1%","20.3%","24%",180,131,4.8,8,"23.5%",533,"24.3%","21.1%",272,"23.1%",0,0.3,0.07,0.16
"Tomio","Disguised","Jungle",37,"65%","47%",86,89,318,4.5,"75.5%","16.1%","21.1%","35%",-8,64,1.6,5.7,"16.4%",407,"16.3%","16.8%",220,"18.5%",3,0.29,0.2,0.37
"Trevor","Supernova","Support",37,"30%","44%",21,133,312,2.5,"72.5%","4.6%","20.5%","16%",-141,-79,-1.8,0.9,"2.6%",165,"7.3%","6.6%",98,"8.9%",0,1.35,0.29,0.25
"Will","AOE Gold","ADC",1,"0%","100%",0,4,1,0.3,"50.0%","0.0%","25.0%","0%",-1093,-847,-21,7.3,"25.8%",403,"19.8%","20.3%",194,"21.0%",0,0.25,0,0.04
"Will","AOE Gold","Jungle",33,"48%","45%",114,88,267,4.3,"75.3%","22.5%","17.2%","36%",15,91,2.8,5.3,"14.9%",375,"15.4%","16.4%",219,"18.6%",2,0.31,0.28,0.28
"Winsome","FlyQuest Challengers","Support",37,"68%","65%",26,106,400,4,"70.5%","4.3%","21.0%","27%",-14,-24,-1.5,1,"2.5%",162,"6.6%","5.4%",120,"9.4%",0,1.61,0.39,0.36
"Young","Disguised","Middle",37,"65%","42%",124,77,200,4.2,"60.6%","23.2%","18.3%","11%",-71,15,-0.8,8.7,"26.3%",550,"23.1%","24.6%",277,"23.2%",0,0.34,0.13,0.18
"Yuuji","FlyQuest Challengers","Jungle",37,"68%","41%",141,96,298,4.6,"72.7%","23.3%","19.0%","41%",198,100,4.5,5.7,"17.4%",423,"17.4%","18.3%",250,"19.9%",4,0.34,0.27,0.33
"Zamudo","Wildcard Gaming","Top",37,"54%","51%",130,134,207,2.5,"58.9%","22.7%","24.4%","19%",76,63,2.3,8,"24.0%",616,"26.1%","23.6%",272,"22.5%",0,0.26,0,0.12
"Zeyzal","Disguised","Support",37,"65%","44%",22,79,412,5.5,"81.1%","4.1%","18.8%","24%",53,104,1,0.9,"1.9%",153,"6.7%","5.9%",113,"9.4%",0,1.49,0.38,0.25
"Zyko","Maryville University","Support",34,"35%","45%",22,118,334,3,"72.2%","4.5%","20.3%","18%",-79,-60,0.1,1.2,"3.4%",150,"6.7%","6.0%",113,"9.9%",0,1.48,0.41,0.38
