"Player","Team","Pos","GP","W%","CTR%","K","D","A","KDA","KP","KS%","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","D%P15","EGPM","GOLD%","STL","WPM","CWPM","WCPM"
"369","JD Gaming","Top",14,"43%","64%",48,57,92,2.5,"65.4%","22.4%","22.4%",,,,,7.7,,592,"28.9%",,264,"22.7%",,0.34,0.14,0.27
"Ale","LNG Esports","Top",3,"0%","0%",8,9,9,1.9,"65.4%","30.8%","14.8%",,,,,8.7,,518,"28.7%",,271,"26.7%",,0.45,0.19,0.3
"Angel","Weibo Gaming","Middle",9,"56%","56%",40,15,52,6.1,"64.8%","28.2%","10.9%",,,,,8.4,,455,"21.9%",,284,"24.1%",,0.62,0.15,0.34
"Bin","Royal Never Give Up","Top",14,"64%","36%",41,41,85,3.1,"54.8%","17.8%","19.2%",,,,,8,,421,"21.4%",,274,"23.2%",,0.37,0.16,0.18
"Breathe","Bilibili Gaming","Top",8,"50%","50%",14,24,28,1.8,"40.8%","13.6%","23.5%",,,,,8.8,,434,"23.3%",,264,"22.5%",,0.34,0.17,0.22
"Care","FunPlus Phoenix","Middle",4,"25%","75%",15,13,17,2.5,"74.4%","34.9%","24.5%",,,,,8.1,,399,"28.6%",,262,"24.3%",,0.58,0.23,0.4
"Clid","FunPlus Phoenix","Jungle",4,"25%","75%",8,11,17,2.3,"58.1%","18.6%","20.8%",,,,,5.1,,156,"11.3%",,180,"16.6%",,0.52,0.38,0.36
"Crisp","Bilibili Gaming","Support",8,"50%","50%",4,25,67,2.8,"68.9%","3.9%","24.5%",,,,,1.2,,127,"6.8%",,111,"9.3%",,1.67,0.59,0.48
"Cube","Rare Atom","Top",4,"25%","50%",7,11,17,2.2,"58.5%","17.1%","16.7%",,,,,8.2,,502,"26.8%",,236,"22.8%",,0.49,0.17,0.17
"Doggo","Bilibili Gaming","ADC",8,"50%","50%",32,19,30,3.3,"60.2%","31.1%","18.6%",,,,,9.8,,514,"27.5%",,314,"26.5%",,0.57,0.25,0.23
"Doinb","LNG Esports","Middle",3,"0%","67%",6,14,13,1.4,"73.1%","23.1%","23.0%",,,,,8.4,,379,"23.4%",,232,"23.1%",,0.25,0.18,0.34
"Flandre","EDward Gaming","Top",8,"50%","38%",22,30,31,1.8,"46.5%","19.3%","25.9%",,,,,8.3,,553,"26.5%",,261,"22.7%",,0.26,0.13,0.25
"FoFo","Bilibili Gaming","Middle",8,"50%","63%",33,19,37,3.7,"68.0%","32.0%","18.6%",,,,,8,,541,"28.6%",,265,"22.5%",,0.28,0.13,0.19
"GALA","Royal Never Give Up","ADC",14,"64%","50%",68,33,80,4.5,"64.3%","29.6%","15.5%",,,,,9.7,,665,"33.8%",,329,"27.5%",,0.31,0.09,0.36
"Hang","FunPlus Phoenix","Support",4,"25%","50%",1,6,31,5.3,"74.4%","2.3%","11.3%",,,,,1.3,,96,"6.6%",,93,"8.4%",,1.63,0.47,0.48
"Hope","JD Gaming","ADC",14,"43%","29%",59,47,74,2.8,"62.1%","27.6%","18.4%",,,,,8.7,,585,"28.4%",,290,"25.2%",,0.47,0.17,0.36
"huanfeng","Weibo Gaming","ADC",9,"56%","44%",33,20,52,4.3,"59.9%","23.2%","14.6%",,,,,9.9,,595,"28.5%",,314,"26.3%",,0.45,0.16,0.37
"iBoy","Rare Atom","ADC",4,"25%","25%",12,10,8,2,"48.8%","29.3%","15.2%",,,,,9.7,,415,"22.6%",,289,"28.0%",,0.35,0.09,0.53
"Iwandy","LNG Esports","Support",3,"0%","33%",5,18,12,0.9,"65.4%","19.2%","29.5%",,,,,1.3,,117,"7.2%",,95,"9.3%",,2.01,0.52,0.48
"JackeyLove","Top Esports","ADC",25,"60%","40%",99,64,172,4.2,"67.2%","24.6%","21.5%",,,,,9.2,,563,"30.6%",,316,"26.2%",,0.42,0.19,0.35
"JieJie","EDward Gaming","Jungle",8,"50%","38%",20,24,58,3.3,"68.4%","17.5%","20.7%",,,,,4.7,,256,"12.2%",,187,"16.1%",,0.48,0.38,0.43
"Kanavi","JD Gaming","Jungle",14,"43%","64%",43,58,104,2.5,"68.7%","20.1%","22.7%",,,,,5.4,,302,"14.4%",,213,"18.4%",,0.32,0.28,0.36
"Karsa","Victory Five","Jungle",13,"46%","8%",52,41,83,3.3,"71.4%","27.5%","19.8%",,,,,5.1,,243,"12.6%",,209,"17.9%",,0.49,0.43,0.35
"knight","Top Esports","Middle",25,"60%","40%",120,38,164,7.5,"70.5%","29.8%","12.8%",,,,,8.5,,475,"25.3%",,291,"24.2%",,0.38,0.14,0.27
"Leyan","Rare Atom","Jungle",4,"25%","50%",11,14,18,2.1,"70.7%","26.8%","21.2%",,,,,5.9,,313,"17.7%",,204,"19.0%",,0.33,0.16,0.32
"Light","LNG Esports","ADC",3,"0%","67%",4,8,9,1.6,"50.0%","15.4%","13.1%",,,,,8.8,,456,"27.7%",,237,"23.9%",,0.32,0.06,0.35
"Lwx","FunPlus Phoenix","ADC",4,"25%","0%",13,11,16,2.6,"67.4%","30.2%","20.8%",,,,,9.8,,468,"32.8%",,299,"28.2%",,0.4,0.17,0.33
"Mark","Top Esports","Support",25,"60%","52%",28,64,245,4.3,"67.7%","6.9%","21.5%",,,,,1.1,,126,"6.8%",,118,"9.8%",,1.83,0.53,0.45
"Meiko","EDward Gaming","Support",8,"50%","50%",1,32,68,2.2,"60.5%","0.9%","27.6%",,,,,1.1,,105,"5.0%",,97,"8.3%",,1.84,0.51,0.38
"Ming","Royal Never Give Up","Support",14,"64%","71%",14,55,145,2.9,"69.1%","6.1%","25.8%",,,,,1,,131,"6.7%",,121,"10.1%",,1.81,0.53,0.43
"MISSING","JD Gaming","Support",14,"43%","29%",13,55,119,2.4,"61.7%","6.1%","21.6%",,,,,1.2,,140,"6.8%",,106,"9.2%",,1.88,0.51,0.33
"ON","Weibo Gaming","Support",9,"56%","78%",3,38,61,1.7,"45.1%","2.1%","27.7%",,,,,1.2,,132,"6.5%",,101,"8.4%",,1.83,0.54,0.4
