"Player","Team","Pos","GP","W%","CTR%","K","D","A","KDA","KP","KS%","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","D%P15","EGPM","GOLD%","STL","WPM","CWPM","WCPM"
"Stay","Team WE","ADC",1,"0%","0%",2,3,6,2.7,"80.0%","20.0%","14.3%",,,,,6.4,,622,"28.6%",,178,"22.3%",,0.35,0.13,0.13
"Tarzan","LNG Esports","Jungle",44,"57%","43%",111,91,303,4.5,"70.4%","18.9%","18.8%",,,,,6.1,,343,"17.5%",,214,"19.1%",,0.38,0.22,0.36
"TheShy","Invictus Gaming","Top",18,"39%","50%",58,77,71,1.7,"56.1%","25.2%","25.8%",,,,,8.1,,588,"27.3%",,265,"23.8%",,0.26,0.13,0.21
"Tian","FunPlus Phoenix","Jungle",39,"72%","46%",128,109,283,3.8,"65.6%","20.4%","22.8%",,,,,6.2,,393,"17.6%",,235,"18.8%",,0.44,0.35,0.41
"Uniboy","Victory Five","Middle",35,"9%","49%",50,100,147,2,"72.7%","18.5%","18.2%",,,,,7.5,,350,"22.6%",,203,"21.8%",,0.4,0.24,0.24
"View","Suning","Jungle",1,"0%","100%",2,3,1,1,"75.0%","50.0%","23.1%",,,,,5,,372,"29.7%",,154,"18.4%",,0.36,0.25,0.25
"Viper","EDward Gaming","ADC",35,"71%","86%",147,56,198,6.2,"63.1%","26.9%","15.2%",,,,,9.1,,636,"29.3%",,310,"25.6%",,0.66,0.19,0.37
"Wei","Royal Never Give Up","Jungle",39,"64%","46%",144,97,269,4.3,"69.3%","24.2%","19.5%",,,,,5.7,,351,"16.8%",,227,"18.9%",,0.58,0.4,0.42
"Weiwei","Bilibili Gaming","Jungle",41,"59%","56%",131,117,268,3.4,"69.5%","22.8%","22.1%",,,,,5.9,,354,"17.7%",,222,"19.2%",,0.54,0.35,0.42
"Wink","Invictus Gaming","ADC",33,"39%","45%",96,95,164,2.7,"61.3%","22.6%","19.5%",,,,,9.1,,520,"26.1%",,288,"25.7%",,0.65,0.16,0.33
"xiao7","ThunderTalk Gaming","Top",10,"20%","70%",22,44,45,1.5,"57.3%","18.8%","25.7%",,,,,6.9,,436,"24.7%",,212,"20.0%",,0.33,0.16,0.2
"xiaocaobao","Ultra Prime","Middle",34,"32%","44%",93,108,166,2.4,"65.1%","23.4%","20.2%",,,,,8.8,,462,"24.8%",,260,"23.8%",,0.42,0.21,0.32
"Xiaohao","Rogue Warriors","Jungle",24,"46%","42%",81,68,158,3.5,"72.0%","24.4%","19.8%",,,,,5.9,,348,"17.2%",,217,"19.5%",,0.32,0.26,0.31
"Xiaohu","Royal Never Give Up","Top",39,"64%","54%",160,114,227,3.4,"64.9%","26.8%","22.9%",,,,,8.9,,552,"26.4%",,310,"25.4%",,0.41,0.15,0.23
"Xiaolaohu","FunPlus Phoenix","Top",3,"100%","67%",24,4,24,12,"75.0%","37.5%","14.3%",,,,,8.8,,623,"27.2%",,355,"27.7%",,0.28,0.14,0.28
"xiaopeng","ThunderTalk Gaming","Jungle",36,"22%","33%",119,131,161,2.1,"75.9%","32.2%","22.1%",,,,,5.9,,377,"20.2%",,216,"20.8%",,0.53,0.29,0.45
"XinLiu","Invictus Gaming","Support",33,"39%","58%",18,93,268,3.1,"67.5%","4.2%","19.1%",,,,,1.2,,131,"6.5%",,100,"8.8%",,1.62,0.57,0.39
"xiye","LGD Gaming","Middle",37,"46%","57%",142,98,205,3.5,"68.4%","28.0%","18.0%",,,,,7.9,,457,"22.5%",,262,"23.6%",,0.29,0.14,0.25
"XUN","Invictus Gaming","Jungle",37,"41%","62%",128,119,225,3,"74.8%","27.1%","21.4%",,,,,5.9,,375,"18.3%",,230,"20.5%",,0.33,0.28,0.29
"Yagao","JD Gaming","Middle",37,"46%","62%",125,99,211,3.4,"66.3%","24.7%","17.8%",,,,,8.1,,502,"24.7%",,255,"22.5%",,0.36,0.15,0.23
"yaoyao","ThunderTalk Gaming","Support",25,"28%","44%",14,90,165,2,"65.3%","5.1%","23.0%",,,,,1.2,,137,"7.3%",,92,"8.7%",,1.6,0.48,0.3
"YeG","ThunderTalk Gaming","Middle",34,"24%","65%",67,98,161,2.3,"65.1%","19.1%","17.9%",,,,,7.5,,393,"21.5%",,224,"22.2%",,0.37,0.19,0.16
"Youxin","Victory Five","Jungle",3,"0%","0%",6,13,12,1.4,"62.1%","20.7%","24.5%",,,,,5.3,,214,"13.1%",,180,"19.1%",,0.3,0.32,0.37
"Yuekai","Royal Never Give Up","Middle",3,"100%","67%",16,5,21,7.4,"66.1%","28.6%","25.0%",,,,,9.4,,561,"23.9%",,320,"22.7%",,0.7,0.16,0.43
"yuyanjia","Top Esports","Support",9,"44%","44%",4,25,83,3.5,"73.1%","3.4%","18.9%",,,,,1.1,,144,"6.8%",,101,"8.7%",,1.5,0.46,0.34
"Zdz","Rogue Warriors","Top",24,"46%","46%",73,68,144,3.2,"65.4%","22.0%","19.8%",,,,,8.1,,445,"22.2%",,265,"23.8%",,0.45,0.21,0.22
"Zeka","Bilibili Gaming","Middle",41,"59%","39%",171,83,227,4.8,"69.3%","29.8%","15.7%",,,,,8,,481,"23.7%",,275,"23.6%",,0.38,0.16,0.16
"Zhuo","Top Esports","Support",29,"66%","48%",23,64,304,5.1,"68.6%","4.8%","18.8%",,,,,1.4,,142,"6.3%",,117,"9.6%",,1.7,0.51,0.42
"Zoom","JD Gaming","Top",37,"46%","54%",85,117,203,2.5,"56.8%","16.8%","21.1%",,,,,8.3,,443,"21.9%",,256,"22.3%",,0.4,0.16,0.19
"zs","Ultra Prime","Top",39,"33%","33%",94,116,166,2.2,"57.1%","20.7%","19.1%",,,,,7.6,,381,"20.4%",,234,"21.7%",,0.39,0.17,0.16
"ZWuJi","Rogue Warriors","ADC",9,"11%","22%",16,23,20,1.6,"58.1%","25.8%","15.6%",,,,,8,,479,"27.9%",,230,"23.8%",,0.44,0.1,0.3
