"Player","Team","Pos","GP","W%","CTR%","K","D","A","KDA","KP","KS%","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","D%P15","EGPM","GOLD%","STL","WPM","CWPM","WCPM"
"Michi","Rogue Warriors","ADC",10,"0%","60%",20,29,33,1.8,"63.9%","24.1%","14.1%","20%",-129,-225,-7.2,8.5,"30.0%",284,"19.2%",,235,"25.2%",,0.54,0.19,0.32
"Ming","Royal Never Give Up","Support",37,"78%","54%",29,93,386,4.5,"69.5%","4.9%","24.0%","30%",37,21,0.6,1.2,"2.4%",149,"7.5%",,114,"9.2%",,1.71,0.5,0.37
"MISSING","Team WE","Support",36,"61%","47%",31,123,294,2.6,"63.7%","6.1%","28.5%","25%",61,105,0.6,1.2,"2.6%",180,"9.2%",,114,"9.5%",,1.52,0.4,0.37
"Mole","Victory Five","Middle",38,"39%","45%",110,105,192,2.9,"66.2%","24.1%","19.5%","24%",-7,110,1.8,8.5,"25.1%",496,"26.5%",,262,"23.7%",,0.32,0.16,0.23
"New","Oh My God","Top",31,"35%","55%",50,94,159,2.2,"59.7%","14.3%","21.0%","10%",-197,-90,-4.8,7.6,"23.6%",423,"23.2%",,234,"21.8%",,0.4,0.17,0.17
"Nuguri","FunPlus Phoenix","Top",35,"69%","57%",86,100,211,3,"52.3%","15.1%","22.9%","9%",257,205,9.6,8.2,"22.8%",593,"26.6%",,272,"21.3%",,0.39,0.16,0.25
"ON","Suning","Support",33,"64%","67%",23,93,276,3.2,"62.0%","4.8%","27.9%","33%",-90,-63,-2.8,1.1,"2.6%",181,"8.9%",,99,"8.4%",,1.62,0.44,0.35
"Peace","LGD Gaming","Support",12,"17%","58%",7,32,66,2.3,"71.6%","6.9%","19.5%","25%",102,-8,6.6,1.5,"4.1%",151,"9.0%",,98,"9.6%",,1.56,0.47,0.35
"ppgod","Victory Five","Support",38,"39%","53%",22,139,289,2.2,"68.2%","4.8%","25.8%","13%",-14,13,-0.4,1.1,"2.7%",156,"8.1%",,97,"8.7%",,1.44,0.36,0.35
"Puff","Invictus Gaming","ADC",16,"56%","56%",67,34,70,4,"66.5%","32.5%","17.4%","6%",-50,-36,-0.3,9.8,"31.5%",455,"20.6%",,310,"26.8%",,0.37,0.11,0.38
"QiuQiu","Rogue Warriors","ADC",2,"0%","100%",2,6,2,0.7,"50.0%","25.0%","17.6%","0%",-723,-136,-14.5,7.4,"26.1%",208,"15.5%",,179,"22.4%",,0.35,0.08,0.12
"QiuQiu","Rogue Warriors","Support",11,"18%","18%",8,58,66,1.3,"65.5%","7.1%","28.3%","36%",-137,-99,2,1.2,"3.1%",167,"9.9%",,86,"8.7%",,1.62,0.48,0.39
"Rat","eStar","ADC",36,"19%","56%",121,111,140,2.4,"69.4%","32.2%","19.9%","36%",-305,-134,-8.5,9,"30.9%",456,"25.6%",,277,"26.0%",,0.41,0.14,0.36
"Rookie","Invictus Gaming","Middle",36,"58%","53%",103,80,268,4.6,"68.8%","19.1%","17.2%","19%",300,158,8.3,8.1,"23.2%",556,"27.1%",,261,"22.1%",,0.42,0.24,0.28
"Scout","EDward Gaming","Middle",36,"78%","53%",138,60,222,6,"67.9%","26.0%","18.9%","28%",164,154,1.8,9,"25.7%",521,"27.5%",,286,"23.6%",,0.43,0.16,0.25
"Shanks","Team WE","Middle",34,"65%","56%",95,74,209,4.1,"62.4%","19.5%","18.8%","18%",-20,34,3.4,8.7,"23.8%",451,"23.9%",,268,"22.2%",,0.5,0.21,0.27
"ShiauC","eStar","Support",36,"19%","69%",37,153,213,1.6,"66.5%","9.8%","27.4%","47%",97,22,1.6,1.3,"3.3%",150,"8.5%",,95,"9.2%",,1.74,0.57,0.38
"SofM","Suning","Jungle",33,"64%","45%",77,84,229,3.6,"63.5%","16.0%","25.2%","36%",69,320,5.7,6.1,"15.4%",330,"16.0%",,207,"17.6%",,0.69,0.38,0.61
"Steel","Oh My God","Middle",39,"28%","51%",93,105,189,2.7,"70.0%","23.1%","17.7%","18%",-239,-120,-9.1,8,"23.8%",420,"23.9%",,231,"22.2%",,0.41,0.18,0.17
"Tarzan","LNG Esports","Jungle",35,"46%","57%",97,68,184,4.1,"70.3%","24.3%","17.1%","37%",42,-80,-2.6,6.3,"17.4%",332,"19.0%",,218,"19.5%",,0.45,0.23,0.4
"Teeen","ThunderTalk Gaming","Support",38,"32%","55%",18,136,297,2.3,"74.3%","4.2%","22.7%","21%",-24,32,2.7,1.2,"2.9%",173,"9.7%",,97,"9.0%",,1.64,0.55,0.25
"TheShy","Invictus Gaming","Top",36,"58%","69%",98,113,193,2.6,"54.0%","18.2%","24.4%","19%",262,261,11.6,7.9,"24.1%",575,"26.3%",,258,"21.7%",,0.28,0.14,0.18
"Tian","FunPlus Phoenix","Jungle",11,"64%","45%",42,23,71,4.9,"68.9%","25.6%","20.7%","36%",1,-37,-1.5,5.9,"15.6%",366,"15.7%",,228,"18.6%",,0.51,0.42,0.43
