"Player","Team","Pos","GP","W%","CTR%","K","D","A","KDA","KP","KS%","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","D%P15","EGPM","GOLD%","STL","WPM","CWPM","WCPM"
"369","Top Esports","Top",37,"73%","59%",105,90,251,4,"59.1%","17.4%","20.7%","14%",144,225,8.6,8.3,"25.6%",465,"22.4%",,275,"22.7%",,0.37,0.14,0.24
"705","Royal Never Give Up","Top",1,"0%","0%",1,2,2,1.5,"60.0%","20.0%","33.3%","100%",438,831,17,6.8,"19.6%",201,"12.9%",,168,"19.8%",,0.42,0.15,0.08
"ADD","Bilibili Gaming","Top",8,"38%","75%",17,33,53,2.1,"63.1%","15.3%","26.2%","38%",-117,-60,-4,6.7,"21.1%",417,"19.5%",,208,"19.1%",,0.51,0.19,0.17
"Aix","Vici Gaming","Jungle",19,"53%","47%",49,36,114,4.5,"68.5%","20.6%","17.1%","32%",-9,-11,0.4,5.6,"15.7%",261,"14.1%",,200,"18.1%",,0.43,0.34,0.45
"Ale","Dominus Esports","Top",6,"0%","83%",8,30,12,0.7,"45.5%","18.2%","26.1%","17%",23,251,15,8.3,"25.4%",400,"24.2%",,238,"24.2%",,0.39,0.16,0.21
"Aliez","Oh My God","Top",1,"0%","0%",1,3,0,0.3,"50.0%","50.0%","17.6%","0%",-464,-535,6,8.2,"24.6%",330,"33.7%",,210,"23.4%",,0.48,0.2,0.16
"Angel","Suning","Middle",42,"60%","55%",132,90,259,4.3,"71.1%","24.0%","18.0%","17%",-15,47,3,7.7,"22.1%",524,"26.3%",,247,"22.0%",,0.45,0.18,0.19
"Aodi","EDward Gaming","Top",20,"45%","65%",43,55,129,3.1,"59.3%","14.8%","20.7%","35%",-216,31,-6.9,7,"22.1%",321,"17.8%",,225,"20.4%",,0.46,0.22,0.14
"Baolan","Invictus Gaming","Support",16,"81%","44%",17,46,175,4.2,"68.8%","6.1%","20.7%","25%",34,65,0.6,1.2,"3.1%",181,"7.9%",,119,"9.5%",,1.75,0.59,0.33
"beishang","Team WE","Jungle",43,"56%","65%",133,83,301,5.2,"74.3%","22.8%","15.3%","42%",14,93,2.9,6.1,"17.9%",316,"16.6%",,221,"19.6%",,0.39,0.34,0.47
"Betty","Royal Never Give Up","ADC",18,"50%","56%",62,24,81,6,"71.1%","30.8%","13.7%","39%",-89,-51,-5.9,9,"32.5%",494,"30.9%",,285,"26.1%",,0.55,0.14,0.42
"Bin","Suning","Top",42,"60%","50%",135,114,213,3.1,"63.3%","24.5%","22.8%","17%",205,181,3.7,8.2,"26.1%",478,"23.9%",,277,"24.5%",,0.34,0.12,0.15
"Biubiu","Victory Five","Top",41,"63%","44%",102,85,195,3.5,"57.0%","19.6%","20.5%","27%",89,53,0.9,7.6,"23.3%",352,"20.2%",,250,"21.8%",,0.42,0.21,0.18
