"Player","Team","Pos","GP","W%","CTR%","K","D","A","KDA","KP","KS%","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","D%P15","EGPM","GOLD%","STL","WPM","CWPM","WCPM"
"113","Karmine Corp","Jungle",18,"50%","39%",34,79,118,1.9,"66.1%","14.8%","30.5%","22%",58,92,1.3,4.7,"10.9%",288,"12.3%","11.1%",166,"14.6%",4,0.32,0.29,0.3
"Adam","Team BDS Academy","Top",18,"61%","39%",63,45,81,3.2,"61.0%","26.7%","16.9%","22%",435,284,12.3,9.2,"31.3%",555,"23.7%","21.4%",308,"27.2%",0,0.41,0.15,0.21
"Akabane","GameWard","Jungle",18,"61%","50%",59,39,117,4.5,"66.7%","22.3%","21.5%","17%",84,144,4.4,6.3,"16.6%",233,"10.7%","10.8%",215,"18.2%",0,0.52,0.39,0.35
"Asza","Solary","ADC",18,"39%","33%",78,42,64,3.4,"74.3%","40.8%","18.8%","44%",88,-117,1,9.1,"31.2%",519,"27.7%","29.9%",295,"27.2%",1,0.38,0.12,0.38
"Badlulu","Mirage Elyandra","Top",18,"17%","44%",33,54,50,1.5,"49.4%","19.6%","21.9%","17%",-254,-126,-6.6,7.9,"23.8%",370,"21.3%","18.6%",235,"22.5%",0,0.39,0.12,0.16
"Bung","Team Oplon","ADC",5,"20%","40%",23,14,21,3.1,"75.9%","39.7%","16.1%","20%",-37,231,8,9.6,"31.8%",665,"33.4%","36.3%",306,"28.5%",0,0.37,0.13,0.26
"Cabochard","Karmine Corp","Top",18,"50%","72%",67,49,81,3,"64.3%","29.1%","18.9%","6%",292,197,9.7,8.5,"24.8%",577,"24.6%","22.9%",280,"24.5%",0,0.32,0.15,0.19
"Cody Sun","Mirage Elyandra","ADC",18,"17%","39%",60,36,68,3.6,"76.2%","35.7%","14.6%","44%",-137,-362,-9.9,8.4,"28.3%",492,"28.8%","29.6%",273,"26.0%",1,0.49,0.14,0.37
"Crownie","Team BDS Academy","ADC",16,"63%","50%",56,49,74,2.7,"61.3%","26.4%","20.3%","6%",-119,181,8.6,9.4,"30.7%",597,"26.1%","28.9%",301,"25.9%",1,0.4,0.11,0.33
"Czajek","Misfits Premier","Middle",18,"50%","72%",72,36,97,4.7,"71.9%","30.6%","15.3%","22%",194,110,3.4,9,"28.3%",677,"31.4%","33.0%",293,"25.9%",1,0.54,0.26,0.19
"Czekolad","GameWard","Middle",18,"61%","39%",64,36,115,5,"67.8%","24.2%","19.9%","11%",112,6,3.8,8.7,"25.9%",635,"28.5%","29.7%",278,"23.8%",0,0.48,0.18,0.32
"Darlik","Team Oplon","Top",18,"22%","50%",35,60,57,1.5,"53.5%","20.3%","20.1%","17%",-361,-292,-9.3,7.9,"25.0%",439,"23.9%","22.2%",240,"23.3%",0,0.44,0.16,0.17
"Diplex","Vitality.Bee","Middle",18,"61%","50%",67,23,110,7.7,"60.6%","22.9%","12.8%","17%",-88,-32,-5.8,8.6,"25.3%",551,"24.1%","26.2%",271,"22.6%",0,0.41,0.13,0.23
"Djoko","Solary","Jungle",18,"39%","61%",32,51,90,2.4,"63.9%","16.8%","22.8%","56%",-107,-213,-3.1,5.8,"15.2%",217,"11.4%","11.6%",178,"16.8%",2,0.25,0.23,0.38
"Doss","LDLC OL","Support",18,"94%","39%",11,42,214,5.4,"76.3%","3.7%","25.8%","39%",-62,37,-0.4,0.9,"1.8%",178,"7.8%","6.9%",117,"9.0%",0,1.35,0.35,0.27
"Dreamer Ace","Team BDS Academy","Support",14,"64%","50%",7,47,134,3,"75.8%","3.8%","24.2%","7%",-227,-262,-6.9,0.7,"2.1%",169,"7.1%","6.1%",91,"8.0%",0,1.38,0.46,0.31
"Eika","LDLC OL","Middle",18,"94%","39%",86,28,111,7,"66.8%","29.2%","17.2%","17%",93,78,4.4,9.2,"25.9%",600,"26.3%","27.6%",320,"24.6%",0,0.54,0.17,0.25
"Erdote","Team BDS Academy","Support",4,"50%","50%",0,15,34,2.3,"68.0%","0.0%","20.8%","25%",-37,-365,-4.5,0.8,"2.5%",168,"8.3%","6.4%",95,"7.9%",0,1.82,0.6,0.42
"Exakick","LDLC OL","ADC",18,"94%","67%",92,36,98,5.3,"64.4%","31.2%","22.1%","28%",205,396,10.3,10.3,"33.0%",607,"26.4%","28.1%",354,"26.8%",0,0.49,0.18,0.42
"Hantera","Karmine Corp","Support",18,"50%","50%",16,55,131,2.7,"63.9%","7.0%","21.2%","11%",-122,-88,-3.3,1.5,"3.6%",155,"6.2%","5.7%",102,"8.7%",1,1.35,0.48,0.31
"Innaxe","GameWard","ADC",18,"61%","44%",93,29,100,6.7,"73.1%","35.2%","16.0%","17%",-58,-152,-5.7,8.6,"27.8%",634,"28.4%","30.3%",303,"25.8%",0,0.41,0.1,0.41
"Irrelevant","Misfits Premier","Top",4,"25%","75%",3,10,9,1.2,"50.0%","12.5%","18.9%","0%",-60,86,-7.3,8.2,"26.7%",452,"26.9%","25.6%",229,"23.1%",0,0.27,0.08,0.19
