"Player","Team","Pos","GP","W%","CTR%","K","D","A","KDA","KP","KS%","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","D%P15","EGPM","GOLD%","STL","WPM","CWPM","WCPM"
"Sheo","Team BDS Academy","Jungle",18,"67%","39%",48,50,135,3.7,"69.6%","18.3%","20.5%","17%",-96,-117,-2.4,6.2,"14.7%",298,"14.6%","14.3%",193,"16.7%",3,0.47,0.29,0.37
"Skeanz","Vitality.Bee","Jungle",18,"61%","78%",62,29,127,6.5,"73.5%","24.1%","13.7%","28%",-115,17,-0.2,6.8,"16.9%",264,"13.1%","13.3%",216,"18.3%",3,0.4,0.34,0.31
"SMILEY","GamersOrigin","ADC",18,"44%","56%",77,42,89,4,"66.1%","30.7%","14.0%","6%",-149,-53,1.8,10.2,"35.3%",594,"29.0%","31.1%",327,"28.8%",1,0.36,0.08,0.25
"Steeelback","Solary","Support",18,"44%","33%",10,42,165,4.2,"71.1%","4.1%","19.9%","33%",49,234,0.6,1,"1.7%",111,"6.1%","5.7%",93,"8.3%",0,1.91,0.58,0.3
"Szygenda","Vitality.Bee","Top",18,"61%","22%",60,43,86,3.4,"56.8%","23.3%","20.4%","11%",155,-13,6.5,9,"27.3%",647,"31.7%","30.0%",300,"25.3%",0,0.42,0.19,0.22
"TynX","Misfits Premier","Jungle",18,"61%","67%",41,52,133,3.3,"66.2%","15.6%","22.2%","39%",140,-31,-0.8,6.5,"15.3%",280,"13.1%","13.3%",205,"17.7%",1,0.32,0.24,0.36
"Vander","Misfits Premier","Support",18,"61%","50%",12,46,167,3.9,"68.1%","4.6%","19.7%","50%",113,82,3.1,1.1,"2.3%",130,"6.1%","5.3%",105,"9.0%",0,1.62,0.54,0.32
"Vizicsacsi","GamersOrigin","Top",18,"44%","33%",52,62,115,2.7,"66.5%","20.7%","20.7%","11%",271,220,9.9,7.8,"23.3%",472,"23.5%","20.4%",256,"22.6%",0,0.48,0.23,0.2
"Woolite","Misfits Premier","ADC",18,"61%","33%",87,43,95,4.2,"69.2%","33.1%","18.4%","39%",219,152,4.5,9.4,"31.9%",603,"28.4%","30.0%",315,"27.1%",0,0.46,0.15,0.4
"Xico","Team BDS Academy","Middle",18,"67%","61%",62,51,101,3.2,"62.0%","23.6%","20.9%","17%",-12,37,2.4,9,"26.7%",480,"23.8%","24.2%",275,"23.9%",0,0.48,0.23,0.24
"Xicor","Team Oplon","ADC",8,"25%","50%",36,18,30,3.7,"70.2%","38.3%","14.0%","38%",23,117,-6,9.9,"35.7%",553,"30.9%","33.0%",320,"30.0%",0,0.51,0.18,0.43
"Yike","LDLC OL","Jungle",18,"72%","44%",51,55,152,3.7,"67.0%","16.8%","21.7%","17%",74,29,0.6,6.3,"13.5%",342,"16.4%","16.4%",199,"16.4%",4,0.37,0.42,0.29
