"Player","Team","Pos","GP","W%","CTR%","K","D","A","KDA","KP","KS%","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","D%P15","EGPM","GOLD%","STL","WPM","CWPM","WCPM"
"Adam","Fnatic","Top",18,"61%","50%",62,62,100,2.6,"52.8%","20.2%","23.2%","33%",-44,-143,-2.9,7.7,"24.5%",487,"23.0%",,272,"22.3%",,0.43,0.19,0.16
"Advienne","Excel Esports","Support",11,"45%","73%",7,34,91,2.9,"67.1%","4.8%","24.8%","36%",-64,-88,-3.3,0.9,"2.6%",136,"7.1%",,91,"8.1%",,1.4,0.55,0.34
"Armut","MAD Lions","Top",18,"67%","44%",51,55,106,2.9,"56.5%","18.3%","21.6%","6%",-59,-59,-4.7,7.7,"24.9%",489,"22.6%",,265,"22.3%",,0.51,0.19,0.21
"Blue","SK Gaming","Middle",15,"33%","73%",47,38,58,2.8,"69.1%","30.9%","17.9%","13%",-395,-276,-3.8,9.3,"29.7%",459,"26.4%",,276,"26.5%",,0.44,0.12,0.27
"BrokenBlade","FC Schalke 04 Esports","Top",18,"17%","50%",35,47,68,2.2,"64.8%","22.0%","16.5%","17%",76,9,1.5,7.9,"25.7%",439,"25.3%",,238,"23.6%",,0.5,0.26,0.17
"Bwipo","Fnatic","Jungle",18,"61%","44%",61,60,150,3.5,"68.7%","19.9%","22.5%","22%",127,86,2.4,6.3,"18.0%",432,"20.7%",,235,"19.0%",,0.44,0.38,0.33
"Caps","G2 Esports","Middle",18,"67%","44%",68,51,110,3.5,"61.2%","23.4%","23.2%","28%",193,136,4.7,8.2,"22.4%",459,"22.7%",,274,"22.3%",,0.4,0.18,0.19
"Carzzy","MAD Lions","ADC",18,"67%","61%",89,42,101,4.5,"68.3%","32.0%","16.5%","22%",59,48,-1.7,9.1,"31.1%",588,"27.2%",,312,"26.3%",,0.5,0.11,0.4
"Crownie","Team Vitality","ADC",18,"44%","50%",72,24,81,6.4,"61.4%","28.9%","9.5%","17%",72,29,2.6,10,"33.0%",545,"28.3%",,317,"27.4%",,0.53,0.1,0.36
"Dan","Excel Esports","Jungle",7,"29%","57%",13,18,29,2.3,"71.2%","22.0%","20.5%","43%",-88,-46,-3.9,5,"13.7%",258,"16.3%",,168,"17.2%",,0.37,0.35,0.29
"denyk","Excel Esports","Support",7,"29%","43%",4,23,33,1.6,"62.7%","6.8%","26.1%","14%",-30,-181,5.3,1.6,"4.9%",88,"5.8%",,88,"9.4%",,1.3,0.45,0.17
"Elyoya","MAD Lions","Jungle",18,"67%","61%",63,41,133,4.8,"70.5%","22.7%","16.1%","22%",-31,7,2.9,5.9,"17.2%",348,"16.1%",,226,"19.0%",,0.38,0.32,0.34
"Hans Sama","Rogue","ADC",18,"72%","28%",71,30,107,5.9,"63.8%","25.4%","15.8%","33%",345,364,19.3,9.6,"30.0%",487,"24.6%",,322,"26.1%",,0.65,0.11,0.37
"HiRit","Misfits Gaming","Top",18,"67%","56%",57,47,115,3.7,"64.7%","21.4%","21.8%","11%",11,89,2.2,8,"24.9%",514,"25.6%",,267,"22.9%",,0.32,0.19,0.26
"Humanoid","MAD Lions","Middle",18,"67%","44%",62,63,112,2.8,"62.6%","22.3%","24.7%","28%",146,206,-0.2,8.1,"24.2%",553,"26.6%",,277,"23.4%",,0.4,0.11,0.2
"Hylissang","Fnatic","Support",18,"61%","61%",15,74,171,2.5,"60.6%","4.9%","27.7%","33%",-17,40,-4,1.1,"2.7%",149,"7.0%",,115,"9.4%",,1.51,0.48,0.34
"Inspired","Rogue","Jungle",18,"72%","56%",57,35,130,5.3,"67.0%","20.4%","18.4%","39%",109,144,1.8,6.3,"18.4%",348,"17.4%",,230,"18.7%",,0.44,0.25,0.34
"Jankos","G2 Esports","Jungle",18,"67%","44%",70,41,120,4.6,"65.3%","24.1%","18.6%","33%",92,-26,-1.1,6.2,"17.7%",345,"17.8%",,232,"18.9%",,0.43,0.35,0.35
"Jesiz","SK Gaming","Support",5,"0%","20%",3,20,23,1.3,"60.5%","7.0%","28.2%","20%",-78,-53,-1.8,1,"2.0%",150,"8.6%",,75,"7.7%",,1.42,0.39,0.34
"Jeskla","Astralis","ADC",18,"39%","44%",36,47,98,2.9,"62.6%","16.8%","17.2%","11%",-370,-416,-11.5,8.2,"29.7%",532,"27.6%",,254,"24.3%",,0.67,0.21,0.27
"Jezu","SK Gaming","ADC",18,"28%","56%",49,37,73,3.3,"67.4%","27.1%","14.6%","22%",-133,-59,-5.6,8.8,"29.0%",419,"22.8%",,262,"24.8%",,0.45,0.15,0.25
"JNX","SK Gaming","Top",18,"28%","61%",33,55,69,1.9,"56.4%","18.2%","21.7%","17%",-33,-25,2.7,8.2,"24.3%",411,"22.8%",,240,"23.1%",,0.46,0.17,0.23
"Kaiser","MAD Lions","Support",18,"67%","33%",13,54,170,3.4,"65.8%","4.7%","21.2%","28%",148,124,2.7,1.1,"2.6%",158,"7.5%",,108,"9.1%",,1.59,0.52,0.42
"Kirei","FC Schalke 04 Esports","Jungle",18,"17%","50%",31,68,67,1.4,"61.6%","19.5%","23.9%","22%",-243,-282,-6.8,5.2,"14.0%",281,"17.0%",,175,"17.5%",,0.46,0.34,0.32
"Kobbe","Misfits Gaming","ADC",18,"67%","50%",57,31,112,5.5,"63.5%","21.4%","14.4%","22%",-135,-209,-5.4,9.3,"30.5%",458,"22.8%",,296,"25.4%",,0.52,0.1,0.38
"Kryze","Excel Esports","Top",18,"39%","56%",31,44,97,2.9,"62.4%","15.1%","19.6%","11%",9,118,-0.2,7.6,"24.5%",409,"22.8%",,230,"21.7%",,0.39,0.12,0.15
"Labrov","Team Vitality","Support",18,"44%","39%",11,65,170,2.8,"72.7%","4.4%","25.7%","22%",60,5,-1,1.1,"2.4%",144,"7.5%",,101,"8.7%",,1.42,0.47,0.32
"Larssen","Rogue","Middle",18,"72%","39%",74,35,100,5,"62.4%","26.5%","18.4%","11%",213,75,7.1,9.2,"26.8%",509,"26.3%",,320,"25.8%",,0.32,0.06,0.11
"LIDER","Team Vitality","Middle",18,"44%","56%",71,51,85,3.1,"62.7%","28.5%","20.2%","50%",-16,-68,-0.3,8.7,"27.2%",463,"24.4%",,290,"25.5%",,0.34,0.14,0.2
"Lilipp","SK Gaming","Support",13,"38%","23%",5,48,73,1.6,"56.5%","3.6%","26.2%","23%",-94,-125,0.9,1.1,"2.4%",117,"6.9%",,86,"8.0%",,1.62,0.6,0.38
"LIMIT","FC Schalke 04 Esports","Support",18,"17%","44%",8,70,110,1.7,"74.2%","5.0%","24.6%","17%",-9,51,3.5,1.4,"4.2%",141,"8.5%",,91,"9.0%",,1.64,0.5,0.42
"MagiFelix","Astralis","Middle",18,"39%","44%",65,49,81,3,"68.2%","30.4%","17.9%","6%",-237,-115,0.3,8.1,"25.3%",476,"25.3%",,254,"24.3%",,0.35,0.11,0.19
