,Support_Importance_0,Support_Coefficient_0,ADC_Importance_0,ADC_Coefficient_0,Middle_Importance_0,Middle_Coefficient_0,Jungle_Importance_0,Jungle_Coefficient_0,Top_Importance_0,Top_Coefficient_0,Support_Importance_1,Support_Coefficient_1,ADC_Importance_1,ADC_Coefficient_1,Middle_Importance_1,Middle_Coefficient_1,Jungle_Importance_1,Jungle_Coefficient_1,Top_Importance_1,Top_Coefficient_1,Support_Importance_2,Support_Coefficient_2,ADC_Importance_2,ADC_Coefficient_2,Middle_Importance_2,Middle_Coefficient_2,Jungle_Importance_2,Jungle_Coefficient_2,Top_Importance_2,Top_Coefficient_2,Support_Avg_Coefficient,ADC_Avg_Coefficient,Middle_Avg_Coefficient,Jungle_Avg_Coefficient,Top_Avg_Coefficient,Support_Avg_Importance,ADC_Avg_Importance,Middle_Avg_Importance,Jungle_Avg_Importance,Top_Avg_Importance
EGPM,0.5914394097122122,9.525662730105779,0.20173263492543492,22.819548149304527,0.040858363306952146,18.50525676830624,0.19594296449152285,14.137013892391847,0.21519817773577793,13.815923237582759,0.6003266181605521,6.558844428124913,0.20042503535994421,22.137597133266347,0.043193702525308006,18.163052639674593,0.19912755671080823,15.679063195782673,0.20728520512456544,15.449876328082619,0.5921697587678872,8.854712132509807,0.2090366436607161,17.550539864657846,0.04220532731371603,19.104880490787444,0.21877094698161278,13.772230756444422,0.20697059318788605,9.649632006479209,8.3130730969135,20.835895049076242,18.591063299589425,14.529435948206313,12.971810524048195,0.5946452622135506,0.20373143798203175,0.0420857977153254,0.20461382272798131,0.20981799201607645
A,0.18647999618626276,11.344389601884265,0.06768136239972063,3.897026777628492,0.29139821652539644,7.579062993164228,0.4344887500727306,6.080659642042518,0.33010461775523225,6.113103237829838,0.1772268227186924,13.694556471733144,0.06781295041601679,6.028309075733884,0.28122394192217853,5.295111875720672,0.43433816447490753,5.519182984401691,0.3495803353560207,6.589659575788283,0.18264114331647205,10.447656604450039,0.07649105150193553,9.532954292387561,0.2675863224120452,3.287703637456819,0.4227257953915969,7.818503702017588,0.33354629707772554,11.591447289019113,11.828867559355816,6.486096715249979,5.38729283544724,6.472782109487265,8.098070034212412,0.1821159874071424,0.07066178810589098,0.2800694936198734,0.430517569979745,0.3377437500629929
D,0.03254925601308805,-16.893374979420255,0.2433514906554156,-9.628927165232563,0.06940296697595823,-12.835346572136922,0.054882483968660085,-9.18507610945093,0.09352700227272147,-10.029955186093536,0.030935239247002026,-18.178854864999956,0.23824912943781956,-9.291740792532929,0.06993100950304477,-14.132444964154539,0.05525644581015843,-10.670210294619771,0.09034605405729006,-10.403018038095631,0.03313006021942285,-17.048340652076668,0.23628069060705895,-7.64838019151425,0.0695365563600301,-13.954073422190616,0.056420010604000634,-10.632697929208542,0.09836673633164532,-11.406969908151655,-17.37352349883229,-8.856349383093248,-13.640621652827358,-10.162661444426414,-10.613314377446942,0.03220485182650431,0.23929377023343135,0.06962351094634438,0.05551964679427305,0.09407993088721894
STL,0.021527001606660587,-0.07771456548625122,0.0045099482702670845,0.7403549042869901,0.004372141842680538,-0.3333288749239831,0.013184647934646828,0.4144451473655406,0.0052332163421518465,-0.5204421437988802,0.023738958409218497,-0.20182645079071015,0.004338238514691678,-0.05524999681741939,0.004955775717993766,-0.08987318116587772,0.012952842176263841,-0.7977033691784147,0.008408110106947468,-0.5849116661619358,0.023257304709711452,-0.30174911486450884,0.00425972456737776,0.44693477388766256,0.005744372542290038,-0.8513327775685114,0.014390623874113162,0.2564625978344707,0.006648451067063557,-0.4389911521552323,-0.19376337704715674,0.3773465604524111,-0.4248449445527907,-0.042265207992801125,-0.5147816540386828,0.02284108824186351,0.004369303784112173,0.0050240967009881135,0.013509371328341277,0.006763259172054291
KS%,0.01980626014704375,13.028500973493546,0.007378284596220813,-0.05735052467204628,0.010820336082929358,5.354418159865643,0.00415351403635819,5.1126726564559375,0.010208381384565689,2.608194990422181,0.017637706044687135,12.402274989030127,0.008057230041041261,0.5914036832321065,0.010492716880629707,2.0631505127709153,0.004185803611813825,5.484546744409303,0.010055822254129385,3.15324279539179,0.01656508031005398,12.675555027127697,0.007624735181366643,3.1910565924208516,0.010327409719671863,0.07498340919710132,0.004788945744152938,8.233149617669778,0.011275356130414338,6.05355162212373,12.702110329883789,1.2417032503269707,2.49751736061122,6.276789672845005,3.938329802645901,0.018003015500594955,0.007686749939542906,0.010546820894410308,0.004376087797441651,0.010513186589703136
KP,0.013311409562368605,-7.530715529360343,0.007371184593995413,-0.730780921465378,0.008579772241068002,-6.074852383786194,0.01826487561298965,-2.656962097175558,0.023292332244167248,-6.743041559788927,0.012496699409727176,-6.889804538540959,0.007549775934460595,-2.261235428704687,0.008022919777988927,-4.2708213138746185,0.019302896199479058,-1.1574479756189113,0.02376439060729383,-5.88708405724869,0.012516899839501387,-7.2253308928532824,0.007783808359787797,-4.011480464774486,0.008191110818668176,-2.6771939273031156,0.017194920240915793,-2.7535109507916338,0.021119355520620192,-9.310865645190209,-7.215283653584862,-2.3344989383148502,-4.3409558749879755,-2.1893070078620345,-7.313663754075942,0.012775002937199057,0.007568256296081269,0.008264600945908368,0.018254230684461498,0.022725359457360424
K,0.013192449249356019,-11.55291784367548,0.2784670614353337,1.3024295913671136,0.19756142300627655,-7.0289717368844,0.00683013358573882,-0.8949424513415947,0.054636173036698085,-0.7980793298551969,0.012640619922601815,-10.314632818202895,0.27705791488263365,1.4260181548171715,0.20300508490783445,-3.279523194924206,0.006603588372206131,-0.29508201482713137,0.057150314419994366,-0.942951249441832,0.013691251093873893,-8.096081988258717,0.27159990236398035,0.4017871128188748,0.21105457449534853,-2.435207835378185,0.005761010960180857,-1.5317384408366976,0.06104057319621065,-1.54737913927254,-9.987877550045697,1.04341161966772,-4.247900922395597,-0.9072543023351413,-1.0961365728565229,0.01317477342194391,0.2757082928939825,0.20387369413648648,0.0063982443060419366,0.057609020217634366
CTR%,0.01316734740026221,0.6152245204460791,0.006935318542445577,2.042430100193232,0.009531518069915661,2.0765800011818154,0.006088405264834307,-0.40436002473818794,0.009543027006005551,0.8837980074363206,0.012121416074525012,0.7359515006513729,0.007149629574103611,2.0430282925602756,0.008525076664542396,1.1480337386710215,0.006108910835306267,-0.08563264239267325,0.010315256346504487,0.16116404545762064,0.011983458531863401,0.7915287637553894,0.006412595817126953,0.7246161118898359,0.00876725616929806,1.2688615054914851,0.00554549659719879,-0.5115059178756288,0.00963538571683222,0.6958136607617729,0.7142349282842805,1.6033581682144478,1.4978250817814407,-0.33383286166883,0.5802585712185714,0.012424074002216874,0.006832514644558714,0.008941283634585373,0.005914270899113121,0.009831223023114087
CSD10,0.01250724941017129,-0.05091452942656466,0.013476768897092274,4.0734085023114375,0.00926915290115022,3.991729942364643,0.011500482419639047,3.209890233728442,0.006948654035637154,-1.0239262653710879,0.012824725962410381,0.5834874986621658,0.015325116443620848,3.1508425430844333,0.008233900289212033,4.839050091362998,0.013345316675986648,7.1337117845839435,0.0075288487880341565,-0.8723247022099444,0.012914961888284235,-1.2568972097779243,0.015060126711281844,3.1755559429697895,0.00854839996466851,4.8078507048121555,0.012400116206679333,5.141032899521164,0.007502508047251004,-1.3002631497655448,-0.24144141351410772,3.4666023294552204,4.546210246179933,5.161544972611183,-1.0655047057821925,0.012748979086955303,0.014620670683998324,0.008683817718343588,0.012415305100768345,0.007326670290307438
WCPM,0.010364115626803814,-0.46991688844002377,0.006256546391801229,-1.252107917866812,0.032749800863119696,-0.7558860885069036,0.01883596366933211,-1.4270267876652107,0.018641588180504494,1.5097050348588312,0.01089419683309732,-0.10605071311510639,0.005519861661164742,-1.3072498821874232,0.033715959827312195,-1.0118710619589766,0.020020872697976606,-1.6839783464508113,0.020544169536994665,1.0029650123936218,0.011394379596364905,-1.3061788187638383,0.005326040800870574,-1.2636464030216414,0.034425632750981296,-0.7868037645164634,0.0180599943291482,-0.7406487582718934,0.01822268238369875,1.7059792333320445,-0.6273821401063229,-1.2743347343586255,-0.8515203049941146,-1.2838846307959717,1.406216426861499,0.010884230685422012,0.005700816284612181,0.03363046448047106,0.018972276898818974,0.019136146700399304
